Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
UVXY,2195367,0,0.00,0,0.00,9.97,2187977,7390
IEFA,1323504,0,0.00,0,0.00,67.55,1317478,6026
USMV,1151282,0,0.00,0,0.00,76.35,1140437,10845
VXX,900184,0,0.00,0,0.00,17.28,897991,2193
ARKG,727160,0,0.00,0,0.00,27.74,687106,40054
CBOE,683463,0,0.00,0,0.00,181.99,678355,5108
GOVT,489221,0,0.00,0,0.00,22.40,485474,3747
INDA,439907,0,0.00,0,0.00,46.02,419213,20694
EFV,437386,0,0.00,0,0.00,50.51,427095,10291
IGV,416410,0,0.00,0,0.00,391.97,414834,1576
USHY,348616,0,0.00,0,0.00,35.59,342094,6522
EZU,306911,0,0.00,0,0.00,45.52,300814,6097
UVIX,292125,0,0.00,0,0.00,17.42,285747,6378
VIXY,267338,0,0.00,0,0.00,17.26,264905,2433
ITB,261878,0,0.00,0,0.00,87.07,258304,3574
IAGG,228013,0,0.00,0,0.00,50.03,226225,1788
SVXY,178427,0,0.00,0,0.00,98.00,176798,1629
ICSH,167955,0,0.00,0,0.00,50.48,167955,0
ITM,166027,0,0.00,0,0.00,45.82,157091,8936
BBJP,154059,0,0.00,0,0.00,52.16,146000,8059
QUAL,134408,0,0.00,0,0.00,141.06,129351,5057
COWZ,132008,0,0.00,0,0.00,49.98,129275,2733
FLOT,127108,0,0.00,0,0.00,50.86,104584,22524
MOAT,126007,0,0.00,0,0.00,79.38,126006,1
EFAV,122546,0,0.00,0,0.00,67.38,120135,2411
CALF,120352,0,0.00,0,0.00,43.16,120136,216
NOBL,118723,0,0.00,0,0.00,91.10,118256,467
AAAU,104457,0,0.00,0,0.00,20.16,104222,235
ECH,102162,0,0.00,0,0.00,26.87,102104,58
ICF,97996,0,0.00,0,0.00,54.86,97696,300
VNM,97882,0,0.00,0,0.00,13.10,95982,1900
REM,95049,0,0.00,0,0.00,22.72,94879,170
SVIX,92260,0,0.00,0,0.00,34.62,91366,894
BBAX,92034,0,0.00,0,0.00,46.19,86311,5723
PDEC,89605,0,0.00,0,0.00,34.25,89405,200
JMST,87494,0,0.00,0,0.00,50.75,87494,0
EFG,79010,0,0.00,0,0.00,92.14,77267,1743
HYD,74885,0,0.00,0,0.00,50.50,73654,1231
TLTW,73209,0,0.00,0,0.00,28.37,67978,5231
BBEU,69150,0,0.00,0,0.00,54.06,65107,4043
ESGV,67735,0,0.00,0,0.00,80.83,67381,354
MTUM,67184,0,0.00,0,0.00,150.11,65167,2017
EEMV,65251,0,0.00,0,0.00,54.54,62185,3066
GVI,62595,0,0.00,0,0.00,103.06,62495,100
ACWV,60274,0,0.00,0,0.00,98.77,56455,3819
IDV,58852,0,0.00,0,0.00,26.72,58852,0
HEFA,58526,0,0.00,0,0.00,31.00,58326,200
DFIC,57560,0,0.00,0,0.00,24.36,55535,2025
BBCA,55715,0,0.00,0,0.00,60.71,55615,100
KNG,52705,0,0.00,0,0.00,49.88,52705,0
PAVE,52415,0,0.00,0,0.00,31.49,51315,1100
ITA,50880,0,0.00,0,0.00,119.86,50880,0
SLVP,50221,0,0.00,0,0.00,10.18,50221,0
NEAR,48758,0,0.00,0,0.00,50.39,48558,200
JEMA,46454,0,0.00,0,0.00,35.80,46454,0
VUSB,41086,0,0.00,0,0.00,49.40,41086,0
BUFR,39841,0,0.00,0,0.00,25.76,36915,2926
IBHF,36480,0,0.00,0,0.00,22.79,36480,0
BITX,36401,0,0.00,0,0.00,19.24,30482,5919
SPYI,33168,0,0.00,0,0.00,47.57,33166,2
OMFL,32180,0,0.00,0,0.00,48.12,31882,298
ICOW,30634,0,0.00,0,0.00,30.22,28238,2396
CNYA,30352,0,0.00,0,0.00,27.28,28452,1900
SMMD,28006,0,0.00,0,0.00,55.83,27786,220
GOVZ,27502,0,0.00,0,0.00,10.96,27051,451
BUFF,26926,0,0.00,0,0.00,39.16,20621,6305
GCOW,25872,0,0.00,0,0.00,33.24,25749,123
RDVI,25867,0,0.00,0,0.00,21.68,25867,0
IBHH,24872,0,0.00,0,0.00,22.75,24372,500
DISV,24554,0,0.00,0,0.00,24.65,24167,387
NVDX,24251,0,0.00,0,0.00,30.01,24251,0
NULG,23685,0,0.00,0,0.00,65.65,23665,20
GHTA,23508,0,0.00,0,0.00,26.35,23508,0
LQDW,22963,0,0.00,0,0.00,30.66,15761,7202
BDEC,22232,0,0.00,0,0.00,37.09,22232,0
VLUE,20569,0,0.00,0,0.00,94.65,20546,23
NURE,20293,0,0.00,0,0.00,28.08,20293,0
SMDV,20277,0,0.00,0,0.00,58.43,19977,300
IEO,20246,0,0.00,0,0.00,94.07,20146,100
XMAR,18766,0,0.00,0,0.00,32.53,18766,0
FBCG,18735,0,0.00,0,0.00,31.62,18721,14
IYZ,18688,0,0.00,0,0.00,21.65,16193,2495
ARKQ,18646,0,0.00,0,0.00,52.81,18638,8
FJUL,17842,0,0.00,0,0.00,40.20,13542,4300
